module,path,methods,verified,probe_status,params,query
"shows","/api/shows/by/untag","GET","probe","200","enableFullTextSearch|limit|page|pattern_fragment|search|show_type|sort_by|team_id",""
"shows","/api/shows/consume/traffic_package/shows","GET","bundle","","limit|page|team_id",""
"shows","/api/shows/count","GET","live","200","enableFullTextSearch|pattern_fragment|search|show_type|version","show_type|version"
"shows","/api/shows/deleted/shows","GET","live","","enableFullTextSearch|limit|offset|page|search|show_type|version","limit|page|show_type|version"
"shows","/api/shows/from/official","GET","probe","200","",""
"shows","/api/shows/from/official2","GET","probe","200","enableFullTextSearch|limit|page|pattern_fragment|search|show_type|sort_by|version",""
"shows","/api/shows/from/teams","GET","probe","404","enableFullTextSearch|limit|offset|page|pattern_fragment|search|show_type|sort_by|version",""
"shows","/api/shows/from/teams/count","GET","probe","400","pattern_fragment|version",""
"shows","/api/shows/getwxarticledata","POST","bundle","","articleurl|user_sid",""
"shows","/api/shows/importwxarticle","POST","bundle","","articleurl",""
"shows","/api/shows/pattfrag-tags/clear","DELETE","bundle","","team_id",""
"shows","/api/shows/pattfrag-tags/order","GET|POST","probe","200","team_id",""
"shows","/api/shows/pattfrag-tags/rename","POST","bundle","","",""
"shows","/api/shows/recover","GET|POST","bundle","","limit|offset",""
"shows","/api/shows/recover/{param}","POST","bundle","","",""
"shows","/api/shows/send","POST","bundle","","from_show_id|show_id|title_postfix",""
"shows","/api/shows/tags/clear","DELETE|POST","bundle","","team_id",""
"shows","/api/shows/tags/order","GET|POST","probe","200","order|team_id",""
"shows","/api/shows/tags/rename","DELETE|POST","bundle","","new_tag|old_tag",""
"shows","/api/shows/v5","POST","bundle","","from_show_id|g|o",""
"shows","/api/shows/validate/teamshow","GET","probe","404","",""
"sms","/api/sms/auth_action","POST","bundle","","action|code",""
"sms","/api/sms/auth_manual","POST","bundle","","",""
"sms","/api/sms/auth_skip","POST","bundle","","",""
"sms","/api/sms/change_phone","POST","bundle","","area_code|phone",""
"sms","/api/sms/register_user","POST","bundle","","area_code|phone|randstr|ticket",""
"sms","/api/sms/reset_password","POST","bundle","","area_code|phone|randstr|ticket",""
"sms","/api/sms/validate_phone","POST","bundle","","action",""
"statistics","/api/statistics/show","GET","probe","404","count",""
"success","/auth/success","GET","live","","",""
"sys_info","/api/sys_info","GET","live","200","",""
